twothousand.OBJECTID,twothousand.Tree_of_He,twothousand.N_FID,twothousand.BlockName,twothousand.Name,twothousand.MgmtType,twothousand.DeerFence,twothousand.DF_details,twothousand.Planting,twothousand.P_details,twothousand.Herbicide,twothousand.H_details,twothousand.HarvYear,twothousand.Shape_Length,twothousand.Shape_Area,Zone_table.OBJECTID,Zone_table.OBJECTID_1,Zone_table.COUNT,Zone_table.AREA,Zone_table.MIN,Zone_table.MAX,Zone_table.RANGE,Zone_table.MEAN,Zone_table.STD,Zone_table.SUM,Zone_table.MEDIAN,Zone_table.PCT90
1,N,0,Leading Ridge,"Leading Ridge (Watershed) Salvage, LRRESEARCH, 14, 12",Salvage,N, ,N, ,N, ,2005,1517.802821,93454.55191,1,1,103,92700,58.6624794,59.06757736,0.405097961,58.80505397,0.107235398,6056.920559,58.75862122,58.97503738
2,Y,1,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,318.5428904,3541.710691,2,2,4,3600,59.42817688,59.47631454,0.048137665,59.45863724,0.01891984,237.834549,59.46502876,59.47515182
3,Y,2,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,395.4615315,5902.992881,3,3,6,5400,59.43899155,59.54942703,0.110435486,59.49480311,0.036993713,356.9688187,59.5037899,59.53260422
4,N,8,Gilford Duff Farm,"McDillSimmons Biomass Research Cut Site 2 northern site, GDF12, GDF22, small parts of GDF70 & others",Thinning,N, ,N, ,N, ,2008,1616.211611,122520.8698,4,4,137,123300,59.16080475,59.86510849,0.704303741,59.5621248,0.161343915,8160.011097,59.58157349,59.7558342
5,N,9,Standing Stone West,"Thinning I, SSW09",Thinning,N, ,N, ,N, ,2002,656.6844608,27801.26756,5,5,32,28800,58.62808609,60.00131607,1.37322998,59.01680505,0.31810492,1888.537762,58.92529869,59.44708748
6,N,12,Standing Stone East,"Caddy Hill Thinning, SSE56, 57, 58, 59",Thinning,Y,2006-2009 / unknown deer fence length / unknown acres,N, ,Y, ,2006,2583.67714,97649.45885,6,6,106,95400,59.02264023,60.3322525,1.309612274,59.41447409,0.319876066,6297.934254,59.31220055,59.91449356
7,Y,13,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL36",Thinning,N, ,N, ,N, ,2002,873.2416406,11151.91169,7,7,13,11700,59.14165878,59.53665924,0.395000458,59.29591722,0.115117621,770.8469238,59.32616425,59.4252739
8,Y,14,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL08",Thinning,N, ,N, ,N, ,2002,1056.866863,31682.67851,8,8,35,31500,59.05451202,59.52804947,0.473537445,59.24799227,0.133639199,2073.679729,59.22328568,59.45415192
9,Y,15,Snake Hill,"Five Point Thinning, SNKHLL10",Thinning,N, ,N, ,N, ,2002,736.5159899,16143.63704,9,9,19,17100,59.14546204,59.55764771,0.412185669,59.35290246,0.115671705,1127.705147,59.355793,59.51202927
10,Y,16,Snake Hill,"Five Point Thinning, SNKHLL11",Thinning,N, ,N, ,N, ,2002,734.568167,23949.77813,10,10,24,21600,59.48079681,59.91822815,0.437431335,59.66231155,0.112651272,1431.895477,59.64405632,59.80640411
11,Y,17,Shaver Creek,"Black Eye Thinning, SHCRK153, 173",Thinning,N, ,N, ,N, ,2004,1123.526513,43885.3867,11,11,50,45000,59.29742432,59.6394577,0.342033386,59.48391289,0.086544407,2974.195644,59.49759483,59.58600006
12,N,18,Leading Ridge,"ER 1 Thinning, LR01",Thinning,N, ,N, ,N, ,2002,636.2256048,18681.58379,12,12,22,19800,59.2764473,60.37643433,1.09998703,59.44111373,0.235737653,1307.704502,59.37774277,59.66641426
13,N,19,Leading Ridge,"LR7 Thinning, LR07",Thinning,N, ,N, ,N, ,2002,528.2669514,10521.63615,13,13,11,9900,59.3969574,59.47078705,0.073829651,59.44130325,0.021654874,653.8543358,59.44678116,59.46048355
14,N,21,Masseyburg,"Research Thinning, MAS168B",Thinning,N, ,N, ,N, ,2002,307.0303401,4835.888702,14,14,5,4500,60.44409943,60.90694427,0.462844849,60.63602142,0.204710065,303.1801071,60.51085663,60.88908081
15,N,22,Masseyburg,"Research Thinning, MAS168A",Thinning,N, ,N, ,N, ,2002,775.2735588,14801.28523,15,15,16,14400,60.63438797,62.52099991,1.886611938,61.30159783,0.538432751,980.8255653,61.14682579,62.07583809
16,N,23,Masseyburg,"Research Thinning, MAS167B",Thinning,N, ,N, ,N, ,2002,310.1613781,4902.883968,16,16,6,5400,59.82662582,60.14777756,0.321151733,59.99573517,0.131139724,359.974411,60.00504112,60.13062286
17,N,24,Masseyburg,"Research Thinning, MAS167A",Thinning,N, ,N, ,N, ,2002,641.8167412,13013.25976,17,17,15,13500,59.9491806,61.2789917,1.329811096,60.44485931,0.414546849,906.6728897,60.30741501,61.08869858
18,N,28,Standing Stone East,"Thinning, SSE35",Thinning,N, ,N, ,N, ,2008,2561.633941,102224.4222,18,18,113,101700,59.60022736,60.04137802,0.441150665,59.85554501,0.092664108,6763.676586,59.86170959,59.96729355
19,N,32,Monroe Furnace,"Rybacki White Pine Seed Tree FR (Seed Tree overstory removal) Rybacki Tract, MNFN101",Seed Tree,Y,2000-2004 / 3600' electric deer fence / 19.1 acres,N, ,N, ,2001,1108.174691,77212.82363,19,19,85,76500,58.79729843,59.21931458,0.422016144,59.0544553,0.10064045,5019.6287,59.04829788,59.19568176
20,N,33,Shaver Creek,"Shaver Creek Uneven Age Management, SHCRK93, 95",Single Tree,Y,2000-2004 / 3800' electric deer fence / 16.77 acres,N, ,N, ,2000,1147.864809,67860.79453,20,20,76,68400,59.00402451,59.37339783,0.369373322,59.20840163,0.092239432,4499.838524,59.22437859,59.31627846
21,N,36,Camps,"Lake Rd SW (Scare Pond Rd), CPS16, 11, 08",Shelterwood 1,Y,2000-2004 / 2600' electric deer fence,N, ,N, ,2000,794.9400667,30330.35918,21,21,35,31500,58.94868088,59.27917862,0.330497742,59.10439279,0.085366982,2068.653748,59.09606934,59.21282654
22,N,37,Gilford Duff Farm,"Yellow Hickory SW 1, GDF2",Shelterwood 1,Y,2003-2010 / 3740' woven wire deer fence / 11.07 acres,N, ,Y,"(1) no date; Unspecificed herbicide (noted in ""Final Yellow Hickory SW Sale Expenses and Revenues"") / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier",2002,1140.540069,44812.2479,22,22,51,45900,59.24578094,59.82128906,0.575508118,59.3798398,0.135457509,3028.37183,59.32527542,59.58865356
23,N,38,Shaver Creek,"Grouse Clearcut, SHCRK114",Clearcut,Y,2002-2006 / 5947' electric deer fence / 22.33 acres,N, ,N, ,2002,1812.72995,90366.57088,23,23,101,90900,59.14100647,59.61366272,0.47265625,59.34574229,0.102003849,5993.919971,59.34142685,59.4744072
24,N,40,Masseyburg,"Virginia and table mountain pine clearcut, MAS109",Clearcut,Y,2002-2006 / 4409' electric deer fence / 18.47 acres,Y,2002; 342 sprouting red oak acorns planted in most abused section of clearcut,N, ,2001,1390.873034,74760.85816,24,24,85,76500,58.91753769,59.99716949,1.079631805,59.31807525,0.244292403,5042.036396,59.27426529,59.66867065
25,Y,41,Gilford Duff Farm,"Swamp Tract SW 1, GDF3",Shelterwood 1,Y,2002-2008 / 7250' woven wire deer fence / 18.54 acres,N, ,N, ,2001,2209.580006,75019.10052,25,25,83,74700,59.03006363,60.15153503,1.121471405,59.6996715,0.24852636,4955.072735,59.71796417,59.99035873
26,N,42,Snake Hill,"Skunk SW Prep, SNKHLL37",Shelterwood Prep,N, ,N, ,N, ,2002,1508.759013,65829.52783,26,26,76,68400,59.32696915,59.70980072,0.382831573,59.47425401,0.087829757,4520.043304,59.47368813,59.57672882
