ten.OBJECTID,ten.Tree_of_He,ten.N_FID,ten.BlockName,ten.Name,ten.MgmtType,ten.DeerFence,ten.DF_details,ten.Planting,ten.P_details,ten.Herbicide,ten.H_details,ten.HarvYear,ten.Shape_Length,ten.Shape_Area,Zone_table3.OBJECTID,Zone_table3.OBJECTID_1,Zone_table3.COUNT,Zone_table3.AREA,Zone_table3.MIN,Zone_table3.MAX,Zone_table3.RANGE,Zone_table3.MEAN,Zone_table3.STD,Zone_table3.SUM,Zone_table3.MEDIAN,Zone_table3.PCT90
1,N,104,Standing Stone East,"Iron Wheel Final Removal , SSE01",Shelterwood FR,N, ,N, ,N, ,2012,1072.403965,37906.59711,1,1,45,40500,59.70709991,60.08817673,0.381076813,59.90968806,0.089092524,2695.935963,59.90454102,60.04706116
2,Y,127,Standing Stone West,"Hornet Thinning, SSW53, 15, 14",Thinning,N, ,N, ,Y, ,2013,2082.269067,139785.9156,2,2,157,141300,58.91075134,60.69717407,1.786422729,59.4908266,0.290340504,9340.059776,59.45689774,59.80543518
3,Y,129,Gilford Duff Farm,"Rockpile Thinning 2012, GDF25",Thinning,N, ,N, ,Y,"~2012; Foliar Herbicide Applications: 10 tanks - totals are 104.96 oz of Garlon 3A and 26.24 oz KAMMO+ ; no mention of where or when applications were applied, other than Rockpile Thinning",2012,1822.622953,135714.7597,3,3,148,133200,59.12239456,59.98615646,0.863761902,59.50595729,0.218748746,8806.88168,59.44324875,59.84530792
4,Y,130,Masseyburg,"Benzoin Ridge Clearcut, MAS28, 73, 76",Clearcut,N, ,Y,2014; 14400 2-0 bare root lob seedlings,Y,2016; to release loblolly pines,2014,1427.123784,105742.9181,4,4,116,104400,58.80667114,59.63673782,0.830066681,59.29460641,0.223454951,6878.174343,59.32985115,59.58046722
5,N,131,Gilford Duff Farm,"Swamp Habitat Improvement Clearcut, parts of GDF65, 50, 64, 63, 20",Clearcut,N, ,N, ,Y, ,2014,1734.764879,95108.09566,5,5,107,96300,59.66868973,61.58224869,1.91355896,60.9076716,0.452055897,6517.120861,60.97596359,61.45009079
6,Y,146,Snake Hill,"Skunk SW FR ""Partial"", SNKHLL37",Shelterwood FR,N, ,N, ,Y, ,2010,1508.759013,65829.52783,6,6,76,68400,59.32696915,59.70980072,0.382831573,59.47425401,0.087829757,4520.043304,59.47368813,59.57672882
7,Y,147,Standing Stone East,"Reefer Valley SW FR, SSE39",Shelterwood FR,N, ,N, ,Y, ,2010,1200.302419,54160.13408,7,7,61,54900,59.43532944,60.04268646,0.607357025,59.68375678,0.127629595,3640.709164,59.68172836,59.82875443
8,N,148,Monroe Furnace,"Woodcock Trail, MNFN23",Habitat Improvement,N, ,N, ,N, ,2012,797.5864315,20190.06805,8,8,25,22500,59.26006699,60.38618088,1.126113892,59.65882797,0.302789062,1491.470699,59.63705826,60.00736847
9,N,0,Gilford Duff Farm,"Rockpile Thinning Extension, GDF25",Thinning,N, ,N, ,N, ,2011,1822.633779,142470.1008,9,9,154,138600,59.12239456,59.98615646,0.863761902,59.50091176,0.218403263,9163.140411,59.41653442,59.84296761
10,Y,130,Masseyburg,"Benzoin Ridge CC Pre-Harvest Salvage, MAS28, 73, 76",Salvage,N, ,N, ,N, ,2013,1427.123784,105742.9181,10,10,116,104400,58.80667114,59.63673782,0.830066681,59.29460641,0.223454951,6878.174343,59.32985115,59.58046722
