ten.OBJECTID,ten.Tree_of_He,ten.N_FID,ten.BlockName,ten.Name,ten.MgmtType,ten.DeerFence,ten.DF_details,ten.Planting,ten.P_details,ten.Herbicide,ten.H_details,ten.HarvYear,ten.Shape_Length,ten.Shape_Area,zone_stats_table_ten.OBJECTID,zone_stats_table_ten.OBJECTID_1,zone_stats_table_ten.COUNT,zone_stats_table_ten.AREA,zone_stats_table_ten.MIN,zone_stats_table_ten.MAX,zone_stats_table_ten.RANGE,zone_stats_table_ten.MEAN,zone_stats_table_ten.STD,zone_stats_table_ten.SUM,zone_stats_table_ten.MEDIAN,zone_stats_table_ten.PCT90
1,N,104,Standing Stone East,"Iron Wheel Final Removal , SSE01",Shelterwood FR,N, ,N, ,N, ,2012,1072.403965,37906.59711,1,1,45,40500,22.9998703,23.37578011,0.375909805,23.16200553,0.099380824,1042.290249,23.15321541,23.2987709
2,Y,127,Standing Stone West,"Hornet Thinning, SSW53, 15, 14",Thinning,N, ,N, ,Y, ,2013,2082.269067,139785.9156,2,2,157,141300,22.4083004,25.17597008,2.767669678,22.98617181,0.393566603,3608.828974,22.94025421,23.25929489
3,Y,129,Gilford Duff Farm,"Rockpile Thinning 2012, GDF25",Thinning,N, ,N, ,Y,"~2012; Foliar Herbicide Applications: 10 tanks - totals are 104.96 oz of Garlon 3A and 26.24 oz KAMMO+ ; no mention of where or when applications were applied, other than Rockpile Thinning",2012,1822.622953,135714.7597,3,3,148,133200,22.52297401,23.07164574,0.548671722,22.83605616,0.10182177,3379.736311,22.83850002,22.96419582
4,Y,130,Masseyburg,"Benzoin Ridge Clearcut, MAS28, 73, 76",Clearcut,N, ,Y,2014; 14400 2-0 bare root lob seedlings,Y,2016; to release loblolly pines,2014,1427.123784,105742.9181,4,4,116,104400,22.61491203,23.45757866,0.842666626,23.03407755,0.196464239,2671.952995,23.0208559,23.30197525
5,N,131,Gilford Duff Farm,"Swamp Habitat Improvement Clearcut, parts of GDF65, 50, 64, 63, 20",Clearcut,N, ,N, ,Y, ,2014,1734.764879,95108.09566,5,5,107,96300,23.61795998,25.18803215,1.570072174,24.60828993,0.396888727,2633.087023,24.70285034,25.04006691
6,Y,146,Snake Hill,"Skunk SW FR ""Partial"", SNKHLL37",Shelterwood FR,N, ,N, ,Y, ,2010,1508.759013,65829.52783,6,6,76,68400,22.90552521,23.5167942,0.611268997,23.26412259,0.173029437,1768.073317,23.32159996,23.44395924
7,Y,147,Standing Stone East,"Reefer Valley SW FR, SSE39",Shelterwood FR,N, ,N, ,Y, ,2010,1200.302419,54160.13408,7,7,61,54900,22.910326,23.57335663,0.663030624,23.26382062,0.114863531,1419.093058,23.25969887,23.36589432
8,N,148,Monroe Furnace,"Woodcock Trail, MNFN23",Habitat Improvement,N, ,N, ,N, ,2012,797.5864315,20190.06805,8,8,25,22500,23.08153152,23.8273983,0.745866776,23.41394783,0.221641268,585.3486958,23.37841988,23.75399742
9,N,0,Gilford Duff Farm,"Rockpile Thinning Extension, GDF25",Thinning,N, ,N, ,N, ,2011,1822.633779,142470.1008,9,9,154,138600,22.52297401,23.07909584,0.556121826,22.83919852,0.102526153,3517.236572,22.84103298,22.96927738
10,Y,130,Masseyburg,"Benzoin Ridge CC Pre-Harvest Salvage, MAS28, 73, 76",Salvage,N, ,N, ,N, ,2013,1427.123784,105742.9181,10,10,116,104400,22.61491203,23.45757866,0.842666626,23.03407755,0.196464239,2671.952995,23.0208559,23.30197525
