twothousand.OBJECTID,twothousand.Tree_of_He,twothousand.N_FID,twothousand.BlockName,twothousand.Name,twothousand.MgmtType,twothousand.DeerFence,twothousand.DF_details,twothousand.Planting,twothousand.P_details,twothousand.Herbicide,twothousand.H_details,twothousand.HarvYear,twothousand.Shape_Length,twothousand.Shape_Area,zone_stats_table_two.OBJECTID,zone_stats_table_two.OBJECTID_1,zone_stats_table_two.COUNT,zone_stats_table_two.AREA,zone_stats_table_two.MIN,zone_stats_table_two.MAX,zone_stats_table_two.RANGE,zone_stats_table_two.MEAN,zone_stats_table_two.STD,zone_stats_table_two.SUM,zone_stats_table_two.MEDIAN,zone_stats_table_two.PCT90
1,N,0,Leading Ridge,"Leading Ridge (Watershed) Salvage, LRRESEARCH, 14, 12",Salvage,N, ,N, ,N, ,2005,1517.802821,93454.55191,1,1,103,92700,22.35842133,23.35870552,1.000284195,22.72002635,0.200678409,2340.162714,22.64968872,22.98708878
2,Y,1,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,318.5428904,3541.710691,2,2,4,3600,23.23001671,23.27195549,0.041938782,23.2571578,0.016650454,93.02863121,23.26332951,23.27123108
3,Y,2,Shaver Creek,"Tropical Storm Ivan Salvage, SHCRK173, 143",Salvage,N, ,N, ,N, ,2004,395.4615315,5902.992881,3,3,6,5400,23.25967598,23.40062714,0.140951157,23.34005674,0.045624195,140.0403404,23.34745407,23.38460445
4,N,8,Gilford Duff Farm,"McDillSimmons Biomass Research Cut Site 2 northern site, GDF12, GDF22, small parts of GDF70 & others",Thinning,N, ,N, ,N, ,2008,1616.211611,122520.8698,4,4,137,123300,22.50284958,23.61812973,1.115280151,22.79630008,0.28112895,3123.093111,22.67211914,23.18453789
5,N,9,Standing Stone West,"Thinning I, SSW09",Thinning,N, ,N, ,N, ,2002,656.6844608,27801.26756,5,5,32,28800,22.5377903,23.72179604,1.184005737,22.86866474,0.299315592,731.7972717,22.78019619,23.30846901
6,N,12,Standing Stone East,"Caddy Hill Thinning, SSE56, 57, 58, 59",Thinning,Y,2006-2009 / unknown deer fence length / unknown acres,N, ,Y, ,2006,2583.67714,97649.45885,6,6,106,95400,22.68203545,24.8957901,2.213754654,23.07743632,0.420836812,2446.20825,22.94146919,23.5957098
7,Y,13,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL36",Thinning,N, ,N, ,N, ,2002,873.2416406,11151.91169,7,7,13,11700,22.89821243,23.49706841,0.598855972,23.10210008,0.165096868,300.327301,23.07920456,23.28714104
8,Y,14,Snake Hill,"Red Pine Thinning  Five Point Thinning, SNKHLL08",Thinning,N, ,N, ,N, ,2002,1056.866863,31682.67851,8,8,35,31500,22.67982483,23.6154747,0.935649872,22.97121528,0.217317819,803.9925346,22.90567398,23.23618279
9,Y,15,Snake Hill,"Five Point Thinning, SNKHLL10",Thinning,N, ,N, ,N, ,2002,736.5159899,16143.63704,9,9,19,17100,22.65492439,23.25021744,0.595293045,22.92301168,0.167942069,435.5372219,22.91570282,23.16154137
10,Y,16,Snake Hill,"Five Point Thinning, SNKHLL11",Thinning,N, ,N, ,N, ,2002,734.568167,23949.77813,10,10,24,21600,23.03213501,23.84445572,0.812320709,23.35798971,0.197128658,560.591753,23.33181858,23.56326599
11,Y,17,Shaver Creek,"Black Eye Thinning, SHCRK153, 173",Thinning,N, ,N, ,N, ,2004,1123.526513,43885.3867,11,11,50,45000,22.88586426,23.46992683,0.584062576,23.1118124,0.154942728,1155.59062,23.08166599,23.36627026
12,N,18,Leading Ridge,"ER 1 Thinning, LR01",Thinning,N, ,N, ,N, ,2002,636.2256048,18681.58379,12,12,22,19800,22.86129379,24.75908852,1.897794724,23.17527858,0.433772986,509.8561287,23.00139618,23.65692101
13,N,19,Leading Ridge,"LR7 Thinning, LR07",Thinning,N, ,N, ,N, ,2002,528.2669514,10521.63615,13,13,11,9900,23.00991058,23.24779701,0.237886429,23.1662745,0.067170892,254.8290195,23.18104744,23.23297882
14,N,21,Masseyburg,"Research Thinning, MAS168B",Thinning,N, ,N, ,N, ,2002,307.0303401,4835.888702,14,14,5,4500,23.9629097,24.39948082,0.436571121,24.15669289,0.190048411,120.7834644,24.05860519,24.38874245
15,N,22,Masseyburg,"Research Thinning, MAS168A",Thinning,N, ,N, ,N, ,2002,775.2735588,14801.28523,15,15,16,14400,24.00954819,28.06064034,4.051092148,25.27992928,1.25333327,404.4788685,24.72478104,27.0237484
16,N,23,Masseyburg,"Research Thinning, MAS167B",Thinning,N, ,N, ,N, ,2002,310.1613781,4902.883968,16,16,6,5400,23.3937397,23.67742538,0.283685684,23.53599326,0.12089581,141.2159595,23.53309345,23.67618465
17,N,24,Masseyburg,"Research Thinning, MAS167A",Thinning,N, ,N, ,N, ,2002,641.8167412,13013.25976,17,17,15,13500,23.3714962,26.4612484,3.089752197,24.31887461,0.94621991,364.7831192,23.82771683,25.73265495
18,N,28,Standing Stone East,"Thinning, SSE35",Thinning,N, ,N, ,N, ,2008,2561.633941,102224.4222,18,18,113,101700,22.45809937,23.3882885,0.930189133,22.86418837,0.216187865,2583.653286,22.83109283,23.20188217
19,N,32,Monroe Furnace,"Rybacki White Pine Seed Tree FR (Seed Tree overstory removal) Rybacki Tract, MNFN101",Seed Tree,Y,2000-2004 / 3600' electric deer fence / 19.1 acres,N, ,N, ,2001,1108.174691,77212.82363,19,19,85,76500,22.34343529,22.78128433,0.437849045,22.5230042,0.118272246,1914.455357,22.49044037,22.72319565
20,N,33,Shaver Creek,"Shaver Creek Uneven Age Management, SHCRK93, 95",Single Tree,Y,2000-2004 / 3800' electric deer fence / 16.77 acres,N, ,N, ,2000,1147.864809,67860.79453,20,20,76,68400,22.5850811,23.38111687,0.796035767,22.9042446,0.217456335,1740.722589,22.90932178,23.1844635
21,N,36,Camps,"Lake Rd SW (Scare Pond Rd), CPS16, 11, 08",Shelterwood 1,Y,2000-2004 / 2600' electric deer fence,N, ,N, ,2000,794.9400667,30330.35918,21,21,35,31500,22.69454575,23.01475143,0.320205688,22.82232873,0.075449833,798.7815056,22.80629921,22.9268837
22,N,37,Gilford Duff Farm,"Yellow Hickory SW 1, GDF2",Shelterwood 1,Y,2003-2010 / 3740' woven wire deer fence / 11.07 acres,N, ,Y,"(1) no date; Unspecificed herbicide (noted in ""Final Yellow Hickory SW Sale Expenses and Revenues"") / (2 & 3) 2008 & 2009; Fenceline herbicide from ATV to control vegetation and make future fence removal easier",2002,1140.540069,44812.2479,22,22,51,45900,22.57013893,23.14601326,0.575874329,22.80813528,0.135862601,1163.214899,22.78644943,22.96999931
23,N,38,Shaver Creek,"Grouse Clearcut, SHCRK114",Clearcut,Y,2002-2006 / 5947' electric deer fence / 22.33 acres,N, ,N, ,2002,1812.72995,90366.57088,23,23,101,90900,22.82127571,23.54882813,0.727552414,23.04116636,0.146719323,2327.157803,23.0097599,23.24498177
24,N,40,Masseyburg,"Virginia and table mountain pine clearcut, MAS109",Clearcut,Y,2002-2006 / 4409' electric deer fence / 18.47 acres,Y,2002; 342 sprouting red oak acorns planted in most abused section of clearcut,N, ,2001,1390.873034,74760.85816,24,24,85,76500,22.6646862,23.77820587,1.113519669,22.98425726,0.224225368,1953.661867,22.92552757,23.3191227
25,Y,41,Gilford Duff Farm,"Swamp Tract SW 1, GDF3",Shelterwood 1,Y,2002-2008 / 7250' woven wire deer fence / 18.54 acres,N, ,N, ,2001,2209.580006,75019.10052,25,25,83,74700,22.37836266,23.7262001,1.347837448,23.11772949,0.406413772,1918.771547,23.24472237,23.60002747
26,N,42,Snake Hill,"Skunk SW Prep, SNKHLL37",Shelterwood Prep,N, ,N, ,N, ,2002,1508.759013,65829.52783,26,26,76,68400,22.90552521,23.5167942,0.611268997,23.26412259,0.173029437,1768.073317,23.32159996,23.44395924
27,N,43,Standing Stone West,"Broken Arrow SW Prep, SSW16",Shelterwood Prep,N, ,N, ,Y, ,2002,1556.038839,92277.35787,27,27,102,91800,22.85835457,23.23751259,0.37915802,22.9807223,0.083418232,2344.033674,22.96746635,23.10279274
28,N,44,Standing Stone East,"Iron Wheel SW Prep, SSE01",Shelterwood Prep,N, ,N, ,Y, ,2002,1072.403965,37906.59711,28,28,45,40500,22.9998703,23.37578011,0.375909805,23.16200553,0.099380824,1042.290249,23.15321541,23.2987709
